source_path,current_path,bytes,source_sha256,disposition
reports/task3_blind_reviews_20260905/image-preview.html,reports/task3/blind_reviews_20260905/image-preview.html,151711,226d7f8f91228a034450427b8fba587d06b502aa7936b7b67092c6a1e93789f5,generated copy; source retained
reports/task3_blind_reviews_20260905/review-template.html,reports/task3/blind_reviews_20260905/review-template.html,9090,bcd50feab1181f63c96e653bd54bed1c268dec90b3a1b52d46a348fcd8d5cd1b,tracked evaluation form code
reports/task3_blind_reviews_20260905/reviewer-1.html,reports/task3/blind_reviews_20260905/reviewer-1.html,5902459,7edd139e7b9fed9bdd100c5d771779561f6b2e5371352b2a71106958f9f542b8,local review form with images; restore from source
reports/task3_blind_reviews_20260905/reviewer-2.html,reports/task3/blind_reviews_20260905/reviewer-2.html,5902459,d42a768abd90627f5a1e01fb7499800c5b96c5290d2e808e7718f4199748bdb4,local review form with images; restore from source
reports/task3_data_intervention_20260905/README.md,reports/task3/data_intervention_20260905/README.md,1586,cc0c9ef88105d5a8b808c68382cbf56fd2206ad4086de592b9bf2ef91b1e2b7c,tracked provenance and review
reports/task3_data_intervention_20260905/REPORT.md,reports/task3/data_intervention_20260905/REPORT.md,46012,41b3f0169b06690f6a2598e0fbcc237bd4ced58563cc013616af3489c48ec3a4,tracked provenance and review
reports/task3_data_intervention_20260905/SOURCES.md,reports/task3/data_intervention_20260905/SOURCES.md,3517,066b175c2215f2b40c04658de6e56bc5d4e4a63f7961f3f0ef7bc9b29ece3a5e,tracked provenance and review
reports/task3_data_intervention_20260905/accepted_development_pairs.csv,reports/task3/data_intervention_20260905/accepted_development_pairs.csv,265589,9f6a568672348a3b40dd582468c66050ba136f685db9238f73e6f688c05ede86,tracked evidence or code
reports/task3_data_intervention_20260905/analyse_data.py,reports/task3/data_intervention_20260905/analyse_data.py,8617,4d3b8bb29798af1a34b7e651f8ce41f78bee10edc2a3659628cbc839028f03ab,tracked evidence or code
reports/task3_data_intervention_20260905/analyse_errors.py,reports/task3/data_intervention_20260905/analyse_errors.py,5494,8b71224381295800c7b118205f5742080751b71031c37df11106f8d1b51488cb,tracked evidence or code
reports/task3_data_intervention_20260905/artifact_manifest.json,reports/task3/data_intervention_20260905/artifact_manifest.json,7448,f4975069ec03e143e80f49c513cc1fa0afb1255c98738a356af3272178cebda8,tracked evidence or code
reports/task3_data_intervention_20260905/augmentation_pixel_damage.csv,reports/task3/data_intervention_20260905/augmentation_pixel_damage.csv,51468,9f4460d746bc14127ce17dcc640ae78513440c24bd7acd425bff4e9f065373ec,tracked evidence or code
reports/task3_data_intervention_20260905/augmentation_preview.png,reports/task3/data_intervention_20260905/augmentation_preview.png,245447,88fcd480509f19db41372d176be133d32f4e9a75549db70dde341043021eb9cd,tracked evidence or code
