source_path,current_path,bytes,source_sha256,disposition
results/evidence/task3/baseline/gender/aggregate/confusion_matrix.csv,results/evidence/task3/baseline/gender/aggregate/confusion_matrix.csv,160,699199601b88624c634ab3efde1b0da80123a5ca640fd0488a9b23f3a4d119ce,local reproduction asset; restore from source
results/evidence/task3/baseline/gender/aggregate/failure_index.csv,results/evidence/task3/baseline/gender/aggregate/failure_index.csv,28370,1533ca87123276633b71af7a26b875f0bf86997d7c0df87e3ef48a6c0563f361,local reproduction asset; restore from source
results/evidence/task3/baseline/gender/aggregate/metrics.json,results/evidence/task3/baseline/gender/aggregate/metrics.json,1795,fdbf6e3012db10acccc34862f223d46bdc79c1c63e041be52780f5d140f8414e,local reproduction asset; restore from source
results/evidence/task3/baseline/gender/aggregate/oof_predictions.csv,results/evidence/task3/baseline/gender/aggregate/oof_predictions.csv,7789841,67ac41222bf5589b56157292ff9ab2959194eb2559f3dd30b291e47917323203,local reproduction asset; restore from source
results/evidence/task3/baseline/gender/aggregate/per_class.csv,results/evidence/task3/baseline/gender/aggregate/per_class.csv,437,e76a016176e21998dc2e49fca39f29b81613e5ccf584906ece2644f208a72093,local reproduction asset; restore from source
results/evidence/task3/baseline/gender/t3_baseline_gender_smallcnn_f0_s2753_e46cd00adf0a_20260830T082833Zf8c1e0/history.csv,results/evidence/task3/baseline/gender/t3_baseline_gender_smallcnn_f0_s2753_e46cd00adf0a_20260830T082833Zf8c1e0/history.csv,3109,76df100ec0b192d43668b5112f4007803aed3c1d879e69ceef8323ed3713a678,local reproduction asset; restore from source
results/evidence/task3/baseline/gender/t3_baseline_gender_smallcnn_f0_s2753_e46cd00adf0a_20260830T082833Zf8c1e0/metrics.json,results/evidence/task3/baseline/gender/t3_baseline_gender_smallcnn_f0_s2753_e46cd00adf0a_20260830T082833Zf8c1e0/metrics.json,2062,9ea2d9449f82f754906c2e1ce024291c9656caad6d8b6d69758418dc5bacd659,local reproduction asset; restore from source
results/evidence/task3/baseline/gender/t3_baseline_gender_smallcnn_f0_s2753_e46cd00adf0a_20260830T082833Zf8c1e0/robustness.csv,results/evidence/task3/baseline/gender/t3_baseline_gender_smallcnn_f0_s2753_e46cd00adf0a_20260830T082833Zf8c1e0/robustness.csv,797,f3f3e884c97f3333b9dfe66e2f432701c1de7439385e97d40e12fada6c96ae46,local reproduction asset; restore from source
results/evidence/task3/baseline/gender/t3_baseline_gender_smallcnn_f1_s2753_e46cd00adf0a_20260830T083708Z143950/history.csv,results/evidence/task3/baseline/gender/t3_baseline_gender_smallcnn_f1_s2753_e46cd00adf0a_20260830T083708Z143950/history.csv,3111,e37b812ddbdd7f726711c5f2688a0b7cd1812f72f66b41f7e3d45c167320cd4b,local reproduction asset; restore from source
results/evidence/task3/baseline/gender/t3_baseline_gender_smallcnn_f1_s2753_e46cd00adf0a_20260830T083708Z143950/metrics.json,results/evidence/task3/baseline/gender/t3_baseline_gender_smallcnn_f1_s2753_e46cd00adf0a_20260830T083708Z143950/metrics.json,2059,145ace37367a1e50d19c7998bad8b20916a306ea89f01f8bfb5365bc5cce7572,local reproduction asset; restore from source
results/evidence/task3/baseline/gender/t3_baseline_gender_smallcnn_f1_s2753_e46cd00adf0a_20260830T083708Z143950/robustness.csv,results/evidence/task3/baseline/gender/t3_baseline_gender_smallcnn_f1_s2753_e46cd00adf0a_20260830T083708Z143950/robustness.csv,797,841247052a3afea5cc90b711ca03047b7e328c500862e5f81b96f0bcee1c4451,local reproduction asset; restore from source
