area,decision,evidence,later_check
split,use data/processed/splits.csv only,"53,984 train and 11,562 validation inputs; zero crossings",never make another split
protected labels,seal holdout and quarantine,shared loader returns blank protected targets,unlock only once for final evaluation
official outputs,train the frozen train-observed output vocabulary,train-fitted taxonomy and label maps; no holdout influence,keep fixed prediction schema and literal NA
primary comparison,rank on supported classes,at least three independent train families,also report rare official outputs
image input,"RGB, 96x128, aspect preserving",zero common padding and 25% fewer tensor pixels,use paired train-only mean/std by default
image variants,use low and high resolution for every model product,"77,102 image inputs from 38,551 products",pair-weight training; aggregate evaluation pairs to one score
Task 1,task owner selects class-aware metrics and imbalance comparison,strong articleType long tail,"record the chosen metrics, baseline, option, and rare-class trade-offs"
Tasks 2 and 3,separate targets with bias slices,mixed season signal and catalogue shortcuts,do not treat gender as identity
Task 4,fix the safe data boundary and metadata-proxy relevance only,zero ID/SHA/family overlap; not similarity ground truth,"Task 4 owner selects metric families, exact metrics, cutoffs, averaging, failure slices, and operational measures after baseline evidence"
family uncertainty,report product rows and independent family units,"27,009 families from 38,551 active product rows",slice classes with fewer than three validation families
