model,fold,partition,dimensions,slice,rows,families,accuracy
G2,0,train,gender,Boys,548,318,0.9927007299270073
G2,0,train,gender,Girls,436,266,0.9931192660550459
G2,0,train,gender,Men,14203,9883,0.9989438850946983
G2,0,train,gender,Unisex,1411,1141,0.9681077250177179
G2,0,train,gender,Women,9622,6734,0.998545001039285
G2,0,train,articleType,Accessory Gift Set,74,26,1.0
G2,0,train,articleType,Baby Dolls,2,2,1.0
G2,0,train,articleType,Backpacks,485,343,0.9855670103092784
G2,0,train,articleType,Bangle,32,17,1.0
G2,0,train,articleType,Basketballs,9,9,1.0
G2,0,train,articleType,Belts,542,329,0.992619926199262
G2,0,train,articleType,Blazers,6,6,1.0
G2,0,train,articleType,Body Wash and Scrub,1,1,1.0
G2,0,train,articleType,Booties,7,4,1.0
G2,0,train,articleType,Boxers,27,22,1.0
G2,0,train,articleType,Bra,202,157,1.0
G2,0,train,articleType,Bracelet,28,15,1.0
G2,0,train,articleType,Briefs,456,324,1.0
G2,0,train,articleType,Camisoles,10,10,1.0
G2,0,train,articleType,Capris,110,80,0.990909090909091
G2,0,train,articleType,Caps,185,160,0.9891891891891892
G2,0,train,articleType,Casual Shoes,1819,1400,0.9956019791094007
G2,0,train,articleType,Churidar,21,19,1.0
G2,0,train,articleType,Clothing Set,6,6,1.0
G2,0,train,articleType,Clutches,152,124,1.0
G2,0,train,articleType,Compact,4,1,1.0
G2,0,train,articleType,Concealer,2,1,1.0
G2,0,train,articleType,Cufflinks,25,16,1.0
G2,0,train,articleType,Cushion Covers,1,1,1.0
G2,0,train,articleType,Deodorant,199,179,0.9748743718592965
G2,0,train,articleType,Dresses,232,184,1.0
G2,0,train,articleType,Duffel Bag,59,46,1.0
G2,0,train,articleType,Dupatta,80,58,1.0
G2,0,train,articleType,Earrings,126,32,0.9920634920634921
G2,0,train,articleType,Eyeshadow,2,2,1.0
G2,0,train,articleType,Flats,287,185,1.0
G2,0,train,articleType,Flip Flops,587,488,0.9982964224872232
G2,0,train,articleType,Footballs,5,5,1.0
G2,0,train,articleType,Formal Shoes,414,180,1.0
G2,0,train,articleType,Foundation and Primer,7,4,1.0
G2,0,train,articleType,Fragrance Gift Set,38,37,1.0
G2,0,train,articleType,Free Gifts,46,34,1.0
G2,0,train,articleType,Gloves,14,10,0.9285714285714286
G2,0,train,articleType,Handbags,978,635,0.9989775051124744
G2,0,train,articleType,Hat,2,2,1.0
G2,0,train,articleType,Headband,4,4,1.0
G2,0,train,articleType,Heels,711,380,0.9985935302390999
G2,0,train,articleType,Highlighter and Blush,4,1,1.0
G2,0,train,articleType,Innerwear Vests,165,129,1.0
G2,0,train,articleType,Ipad,1,1,1.0
G2,0,train,articleType,Jackets,155,135,1.0
G2,0,train,articleType,Jeans,378,182,1.0
G2,0,train,articleType,Jeggings,18,11,1.0
G2,0,train,articleType,Jewellery Set,32,12,1.0
G2,0,train,articleType,Jumpsuit,8,8,1.0
G2,0,train,articleType,Kajal and Eyeliner,8,7,1.0
G2,0,train,articleType,Key chain,1,1,1.0
G2,0,train,articleType,Kurta Sets,51,47,1.0
G2,0,train,articleType,Kurtas,1059,560,1.0
