run_id,partition,sample_rows,batch_size,order,max_abs_difference,prediction_flips,pass
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,160,1,forward,9.202957153320312e-05,0,False
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,160,1,reverse,9.202957153320312e-05,0,False
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,160,1,shuffle,9.202957153320312e-05,0,False
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,160,32,forward,0.0005329251289367676,0,False
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,160,32,reverse,0.0005329251289367676,0,False
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,160,32,shuffle,0.0005329251289367676,0,False
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,160,128,forward,0.0,0,True
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,160,128,reverse,0.0005329251289367676,0,False
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,160,128,shuffle,0.0002853870391845703,0,False
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,validation,160,1,forward,0.00038188695907592773,0,False
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,validation,160,1,reverse,0.00038188695907592773,0,False
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,validation,160,1,shuffle,0.00038188695907592773,0,False
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,validation,160,32,forward,0.0004566311836242676,0,False
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,validation,160,32,reverse,0.0004566311836242676,0,False
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,validation,160,32,shuffle,0.0004566311836242676,0,False
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,validation,160,128,forward,0.0,0,True
