usage,number,asset_id,external_id,product_name,path
Home,1,rare_04f3e0ea471bd62df665,amazon_berkeley_objects:B000QU5CD4,"Pinzon Fleur Jacquard Egyptian Cotton Sateen 18-By-18-Inch Pillow Cover, Taupe/Cream",data/external/rare_usage_expansion_20260906/images_60x80/home/rare_04f3e0ea471bd62df665.png
Home,2,rare_df48226a94925b936f80,amazon_berkeley_objects:B000QU8RGS,"Pinzon Fleur Jacquard Egyptian Cotton Sateen 18-By-18-Inch Pillow Cover, French Blue/Chocolate",data/external/rare_usage_expansion_20260906/images_60x80/home/rare_df48226a94925b936f80.png
Home,3,rare_67b3b290d17d1907ad3f,amazon_berkeley_objects:B00S7Q7AOS,"Chloe & Olive French Bistro Blue Collection Stripe and Plaid Reversible Pillow Cover, 18-Inch, Blue and Cream",data/external/rare_usage_expansion_20260906/images_60x80/home/rare_67b3b290d17d1907ad3f.png
Home,4,rare_0e71f134bf2997a8100d,amazon_berkeley_objects:B072K65772,"AmazonBasics Pinzon Mulberry Silk and Cotton Reversible Cushion Cover, 80x80cm",data/external/rare_usage_expansion_20260906/images_60x80/home/rare_0e71f134bf2997a8100d.png
Home,5,rare_700bed5673a1d46d2c0f,amazon_berkeley_objects:B074VKVNQX,"Amazon Brand – Stone & Beam Medallion Decorative Throw Pillow, 17"" x 17"", Sea Salt",data/external/rare_usage_expansion_20260906/images_60x80/home/rare_700bed5673a1d46d2c0f.png
Home,6,rare_5b3ead5046f743127c06,amazon_berkeley_objects:B074VKVP97,"Amazon Brand – Rivet Mudcloth-Inspired Decorative Throw Pillow, 17"" x 17"", Onyx Black",data/external/rare_usage_expansion_20260906/images_60x80/home/rare_5b3ead5046f743127c06.png
Home,7,rare_27e792a67c45bf88606e,amazon_berkeley_objects:B074VKVP9L,"Amazon Brand – Stone & Beam Medallion Decorative Throw Pillow, 17"" x 17"", Henna",data/external/rare_usage_expansion_20260906/images_60x80/home/rare_27e792a67c45bf88606e.png
Home,8,rare_5bf943f7802dbca7409c,amazon_berkeley_objects:B074VKWJWP,"Amazon Brand – Stone & Beam Striated Velvet Linen-Look Decorative Throw Pillow, 17"" x 17"", Vanilla",data/external/rare_usage_expansion_20260906/images_60x80/home/rare_5bf943f7802dbca7409c.png
Home,9,rare_393dc707f21dd231ffc8,amazon_berkeley_objects:B074VL1JQG,"Amazon Brand – Stone & Beam Medallion Decorative Throw Pillow, 17"" x 17"", Aqua",data/external/rare_usage_expansion_20260906/images_60x80/home/rare_393dc707f21dd231ffc8.png
Home,10,rare_80ae5d7b1e0c60df228c,amazon_berkeley_objects:B074VLPBZT,"Amazon Brand – Stone & Beam French Laundry Decorative Throw Pillow, 17"" x 17"", Ivory, Black",data/external/rare_usage_expansion_20260906/images_60x80/home/rare_80ae5d7b1e0c60df228c.png
Home,11,rare_c99d64db01d6a6e7d359,amazon_berkeley_objects:B074VLPC1Z,"Amazon Brand – Stone & Beam French Laundry Stripe Decorative Throw Pillow, 17"" x 17"", Ivory, Tan",data/external/rare_usage_expansion_20260906/images_60x80/home/rare_c99d64db01d6a6e7d359.png
Home,12,rare_93bcbfd7a36550e7a0f4,amazon_berkeley_objects:B074VLQDJX,"Amazon Brand – Stone & Beam French Laundry Stripe Decorative Throw Pillow, 12"" x 24"", Ivory, Grey",data/external/rare_usage_expansion_20260906/images_60x80/home/rare_93bcbfd7a36550e7a0f4.png
Home,13,rare_591089f4204eae97119f,amazon_berkeley_objects:B074VLRN76,"Amazon Brand – Rivet Mudcloth-Inspired Decorative Throw Pillow, 17"" x 17"", Spice",data/external/rare_usage_expansion_20260906/images_60x80/home/rare_591089f4204eae97119f.png
Home,14,rare_8f0ebb31c1bf2bda8f2b,amazon_berkeley_objects:B074VLRNLC,"Amazon Brand – Rivet Velvet Texture Decorative Throw Pillow, 17"" x 17"", Azure",data/external/rare_usage_expansion_20260906/images_60x80/home/rare_8f0ebb31c1bf2bda8f2b.png
Home,15,rare_20381416024fa5af5a54,amazon_berkeley_objects:B074VLRP5T,"Amazon Brand – Rivet Velvet Texture Decorative Throw Pillow, 17"" x 17"", Midnight",data/external/rare_usage_expansion_20260906/images_60x80/home/rare_20381416024fa5af5a54.png
Home,16,rare_5a1d96d3959624b59e3b,amazon_berkeley_objects:B074VLST1P,"Amazon Brand – Rivet Bohemian Stripe Decorative Pillow, 17"" x 17"", Fuschia",data/external/rare_usage_expansion_20260906/images_60x80/home/rare_5a1d96d3959624b59e3b.png
Home,17,rare_26ff2ff1b5d0be924d59,amazon_berkeley_objects:B074VLST26,"Amazon Brand – Rivet Velvet Texture Decorative Throw Pillow, 12"" x 24"", Azure",data/external/rare_usage_expansion_20260906/images_60x80/home/rare_26ff2ff1b5d0be924d59.png
