run_id,partition,mode,batch_size,order,max_abs_difference,prediction_flips,pass,earlier_max_abs_difference,earlier_summary_reproduced
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,runtime_default,1,forward,9.202957153320312e-05,0,False,9.202957153320312e-05,True
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,runtime_default,1,reverse,9.202957153320312e-05,0,False,9.202957153320312e-05,True
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,runtime_default,1,shuffle,9.202957153320312e-05,0,False,9.202957153320312e-05,True
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,runtime_default,32,forward,0.0005329251289367676,0,False,0.0005329251289367,True
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,runtime_default,32,reverse,0.0005329251289367676,0,False,0.0005329251289367,True
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,runtime_default,32,shuffle,0.0005329251289367676,0,False,0.0005329251289367,True
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,runtime_default,128,forward,0.0,0,True,0.0,True
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,runtime_default,128,reverse,0.0005329251289367676,0,False,0.0005329251289367,True
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,runtime_default,128,shuffle,0.0002853870391845703,0,False,0.0002853870391845,True
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,ieee,1,forward,4.76837158203125e-07,0,True,,
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,ieee,1,reverse,4.76837158203125e-07,0,True,,
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,ieee,1,shuffle,4.76837158203125e-07,0,True,,
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,ieee,32,forward,5.364418029785156e-07,0,True,,
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,ieee,32,reverse,5.364418029785156e-07,0,True,,
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,ieee,32,shuffle,5.364418029785156e-07,0,True,,
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,ieee,128,forward,0.0,0,True,,
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,ieee,128,reverse,2.980232238769531e-07,0,True,,
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,train,ieee,128,shuffle,3.5762786865234375e-07,0,True,,
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,validation,runtime_default,1,forward,0.00038188695907592773,0,False,0.0003818869590759,True
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,validation,runtime_default,1,reverse,0.00038188695907592773,0,False,0.0003818869590759,True
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,validation,runtime_default,1,shuffle,0.00038188695907592773,0,False,0.0003818869590759,True
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,validation,runtime_default,32,forward,0.0004566311836242676,0,False,0.0004566311836242,True
t3_gender_v2_g2_translation_gender_smallcnngem3_f0_s2753_cb072542dbdc_20260904T135102Z6698e6,validation,runtime_default,32,reverse,0.0004566311836242676,0,False,0.0004566311836242,True
