run_id,validation_fold,config_hash,config_path,prediction_path,prediction_sha256,macro_f1,accuracy,support,train_seconds
t3_eda_usage_full_rgb_hog_f0_s2753_6d2a02f2d6_20260902T092742Z8c19de,0,6d2a02f2d618e359c9a307bf74b1c220f9a29d14c0c7bee5682dda31e5532f08,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_full_rgb_hog_f0_s2753_6d2a02f2d6_20260902T092742Z8c19de/config.json,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_full_rgb_hog_f0_s2753_6d2a02f2d6_20260902T092742Z8c19de/oof_predictions.csv,b51d1182a089e72a42eb3dd8ba64491369263467afffc738562dd0475461ff0f,0.42374319496445606,0.7484536082474227,970,25.03204293700037
t3_eda_usage_full_rgb_hog_f1_s2753_2213ec672b_20260902T092807Zceb8b8,1,2213ec672bb787aaad5edbf12b67e7c5ae481d4c8f4e272b6b36fcb4c26a1a8f,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_full_rgb_hog_f1_s2753_2213ec672b_20260902T092807Zceb8b8/config.json,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_full_rgb_hog_f1_s2753_2213ec672b_20260902T092807Zceb8b8/oof_predictions.csv,a383356d938aa111fd0bc30f12c6dc7a55539f282fe3ee519eeeceeb183e51dd,0.39331078771501743,0.7395727365208545,983,27.62440746199991
t3_eda_usage_full_rgb_hog_f2_s2753_25f791c8c5_20260902T092834Ze48246,2,25f791c8c51478e8315c849b2548e1cbc741a6c243289d7611bd7b193a8c02ca,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_full_rgb_hog_f2_s2753_25f791c8c5_20260902T092834Ze48246/config.json,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_full_rgb_hog_f2_s2753_25f791c8c5_20260902T092834Ze48246/oof_predictions.csv,c82500112141f8aa83d747e5c1a3ef5c118872e92eb60827b1be6538ecfaf506,0.48021543843899067,0.7556237218813906,978,26.01472901499983
t3_eda_usage_full_rgb_hog_f3_s2753_96ea88b213_20260902T092901Z7471ff,3,96ea88b213309eea5b2f09402d843c735a743c993b49ed5f05c04e837b0d4f5d,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_full_rgb_hog_f3_s2753_96ea88b213_20260902T092901Z7471ff/config.json,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_full_rgb_hog_f3_s2753_96ea88b213_20260902T092901Z7471ff/oof_predictions.csv,ca4485a887eb49b6a86189af58a673cae215fa5ca9296a965b9a2b873a709051,0.4390266066246689,0.757884028484232,983,26.288314624000122
t3_eda_usage_full_rgb_hog_f4_s2753_45e5a1848d_20260902T092927Z9d09d1,4,45e5a1848df134f61b459a7385d0a8544528c9016629d88b9b8428c43cbda92c,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_full_rgb_hog_f4_s2753_45e5a1848d_20260902T092927Z9d09d1/config.json,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_full_rgb_hog_f4_s2753_45e5a1848d_20260902T092927Z9d09d1/oof_predictions.csv,318c266777329fb8563074face9694ed8c8ce16ac86670cca63518333b4d13ee,0.5210540413028368,0.7562240663900415,964,24.34774273200037
t3_eda_usage_foreground_hog_f0_s2753_9d28d83f1e_20260902T093003Zc6b78e,0,9d28d83f1eddcccff7e00768065ef808819cb648795a828b5fa6301ec220485f,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_foreground_hog_f0_s2753_9d28d83f1e_20260902T093003Zc6b78e/config.json,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_foreground_hog_f0_s2753_9d28d83f1e_20260902T093003Zc6b78e/oof_predictions.csv,77ed83f58f4739fa1fb6f4f8f522a22c2b363550c6921ab2e5891c398fa52419,0.43473869287244177,0.7030927835051546,970,25.488134693000575
t3_eda_usage_foreground_hog_f1_s2753_dd12e54cc0_20260902T093029Z074d1d,1,dd12e54cc0d1d0ff7cd4382a753b1cd6d4398a85e1d22879bdb37759c417c54e,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_foreground_hog_f1_s2753_dd12e54cc0_20260902T093029Z074d1d/config.json,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_foreground_hog_f1_s2753_dd12e54cc0_20260902T093029Z074d1d/oof_predictions.csv,b1e2c7b71b45f33b8d658dabcc98cacc161a1c3a841890445333881da384ec88,0.4227750853519599,0.7253306205493387,983,27.528192745000524
t3_eda_usage_foreground_hog_f2_s2753_c72df8253e_20260902T093056Zd0a1b3,2,c72df8253e8e8f86cb2b654ff38f8e6150d3378f3067fb1dc7f6b71afdcf6b23,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_foreground_hog_f2_s2753_c72df8253e_20260902T093056Zd0a1b3/config.json,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_foreground_hog_f2_s2753_c72df8253e_20260902T093056Zd0a1b3/oof_predictions.csv,a78110034627f62f6fd81344d3d9dad150c1808d2792cc4a35cec3473ce140f4,0.4260141775697435,0.7137014314928425,978,28.493222188999425
t3_eda_usage_foreground_hog_f3_s2753_532b2c87cb_20260902T093125Zf0d279,3,532b2c87cb8b14c322b61623997e018386eb31731b208a4092c174729048e549,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_foreground_hog_f3_s2753_532b2c87cb_20260902T093125Zf0d279/config.json,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_foreground_hog_f3_s2753_532b2c87cb_20260902T093125Zf0d279/oof_predictions.csv,68f867f7a6fb43bdff4707c4ffe5202d4f3fd649e664f1e0ab252b986b33c7a8,0.3980656857120997,0.7070193285859614,983,32.224343896999926
t3_eda_usage_foreground_hog_f4_s2753_ebc60bd9e7_20260902T093157Z7980a6,4,ebc60bd9e78f8ed053ad6c6b2505f7bc0c5fdf18d290c4922d8595126dce6fb9,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_foreground_hog_f4_s2753_ebc60bd9e7_20260902T093157Z7980a6/config.json,results/evidence/task3/clean_slate_eda/view_probes/runs/t3_eda_usage_foreground_hog_f4_s2753_ebc60bd9e7_20260902T093157Z7980a6/oof_predictions.csv,5110bb118840d66988ce7b8c437154b7a5b49990050b0e7c81b76e7e6ac80ad3,0.4266792061291944,0.6825726141078838,964,28.52037627000027
